City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,kon tum,14.35,108.0,14.12,84,98,0.78,VN,1739146471
304,al ghayzah,16.2079,52.176,19.75,81,0,1.2,YE,1739146473
305,coahuayana de hidalgo,18.7,-103.6583,27.96,55,0,2.09,MX,1739146474
306,coronado,32.6859,-117.1831,19.49,68,75,3.09,US,1739146225
307,raduzhny,62.0961,77.475,-1.95,97,100,3.68,RU,1739146476
308,villa hernandarias,-31.231,-59.985,34.27,20,88,3.3,AR,1739146477
309,florida,28.7505,-82.5001,20.0,77,0,0.0,US,1739146189
310,margate,51.3813,1.3862,5.49,81,100,1.34,GB,1739146212
311,utrik,11.2278,169.8474,26.96,82,5,6.63,MH,1739146480
312,abepura,-2.6333,140.5833,29.45,62,20,2.06,ID,1739146481
313,upington,-28.4478,21.2561,24.49,22,0,4.81,ZA,1739146482
314,tayshet,55.9342,98.0044,-10.23,87,100,5.76,RU,1739146483
315,weno,7.4515,151.8468,28.97,79,75,4.12,FM,1739146484
316,panacan,9.2463,118.4082,25.48,87,97,4.1,PH,1739146485
317,mar del plata,-38.0023,-57.5575,19.49,79,91,7.6,AR,1739146189
318,baikonur,45.6167,63.3167,-6.85,81,89,5.02,KZ,1739146489
319,mana,5.6592,-53.7767,25.1,84,100,4.08,GF,1739146490
320,gornopravdinsk,60.05,69.9,-1.92,93,100,4.1,RU,1739146491
321,haiku-pauwela,20.9219,-156.3051,26.79,65,20,8.75,US,1739146492
322,heihe,50.2441,127.4902,-20.68,96,100,1.4,CN,1739146493
323,sayat,38.7839,63.8803,-0.97,97,100,5.44,TM,1739146494
324,camana,-16.6228,-72.7111,23.29,89,98,1.58,PE,1739146214
325,sonoita,31.85,-112.8333,23.57,13,93,3.13,MX,1739146496
326,fang,19.9169,99.2145,14.9,96,12,0.06,TH,1739146497
327,vicuna,-30.0319,-70.7081,27.4,46,5,3.13,CL,1739146498
328,gaigeturi,33.4644,126.3183,5.64,57,100,5.99,KR,1739146499
329,tolanaro,-25.0319,46.9987,24.66,91,29,3.06,MG,1739146501
330,san jose del guaviare,2.5729,-72.6459,25.83,83,100,1.63,CO,1739146233
331,cidreira,-30.1811,-50.2056,24.82,86,17,4.32,BR,1739146211
332,elamanchili,17.55,82.8667,20.28,98,30,0.99,IN,1739146504
333,kavaratti,10.5669,72.642,26.82,73,27,3.52,IN,1739146505
